Transaksi,Tanggal,Waktu,Menu,Harga,Jumlah,Total
15,21/10/2024,1:03:59 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
15,21/10/2024,1:03:59 PM,Kerupuk,Rp3.000,1,Rp3.000
15,21/10/2024,1:03:59 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
16,21/10/2024,2:33:18 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
16,21/10/2024,2:33:18 PM,Coto Makassar,Rp35.000,1,Rp35.000
16,21/10/2024,2:33:18 PM,Ketupat,Rp2.000,1,Rp2.000
16,21/10/2024,2:33:18 PM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
16,21/10/2024,2:33:18 PM,Ketupat,Rp2.000,2,Rp4.000
16,21/10/2024,2:33:18 PM,Es Jeruk,Rp10.000,2,Rp20.000
16,21/10/2024,2:33:18 PM,Jeruk Panas,Rp10.000,2,Rp20.000
16,21/10/2024,2:33:18 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
17,21/10/2024,1:01:41 PM,Ikan Bakar Rica,Rp50.000,1,Rp50.000
17,21/10/2024,1:01:41 PM,Kacang Goreng,Rp4.000,1,Rp4.000
17,21/10/2024,1:01:41 PM,Nasi Putih,Rp5.000,1,Rp5.000
17,21/10/2024,1:01:41 PM,Teh Panas,Rp6.000,2,Rp12.000
18,21/10/2024,5:22:18 PM,Ayam Bakar,Rp30.000,3,Rp90.000
18,21/10/2024,5:22:18 PM,Peyek,Rp4.000,2,Rp8.000
18,21/10/2024,5:22:18 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
19,21/10/2024,11:05:12 AM,Ayam Goreng,Rp30.000,2,Rp60.000
19,21/10/2024,11:05:12 AM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
19,21/10/2024,11:05:12 AM,Nasi Putih,Rp5.000,2,Rp10.000
19,21/10/2024,11:05:12 AM,Buras,Rp2.000,2,Rp4.000
19,21/10/2024,11:05:12 AM,Jus Buah Naga,Rp20.000,1,Rp20.000
19,21/10/2024,11:05:12 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
20,21/10/2024,9:26:22 AM,Ayam Geprek,Rp30.000,1,Rp30.000
20,21/10/2024,9:26:22 AM,Sop Kikil,Rp40.000,2,Rp80.000
20,21/10/2024,9:26:22 AM,Nasi Putih,Rp5.000,2,Rp10.000
20,21/10/2024,9:26:22 AM,Es Jeruk,Rp10.000,2,Rp20.000
20,21/10/2024,9:26:22 AM,Es Jeruk,Rp10.000,1,Rp10.000
21,21/10/2024,4:51:04 PM,Sop Kikil,Rp40.000,3,Rp120.000
21,21/10/2024,4:51:04 PM,Kacang Goreng,Rp4.000,2,Rp8.000
21,21/10/2024,4:51:04 PM,Kerupuk,Rp3.000,2,Rp6.000
21,21/10/2024,4:51:04 PM,Jeruk Panas,Rp10.000,2,Rp20.000
22,21/10/2024,12:20:13 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
22,21/10/2024,12:20:13 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
22,21/10/2024,12:20:13 PM,Nasi Putih,Rp5.000,2,Rp10.000
22,21/10/2024,12:20:13 PM,Kacang Goreng,Rp4.000,2,Rp8.000
22,21/10/2024,12:20:13 PM,Es Jeruk,Rp10.000,1,Rp10.000
22,21/10/2024,12:20:13 PM,Es Teh,Rp6.000,1,Rp6.000
23,21/10/2024,10:39:40 PM,Cumi Bakar,Rp45.000,3,Rp135.000
23,21/10/2024,10:39:40 PM,Ayam Geprek,Rp30.000,3,Rp90.000
23,21/10/2024,10:39:40 PM,Es Jeruk,Rp10.000,1,Rp10.000
23,21/10/2024,10:39:40 PM,Es Jeruk,Rp10.000,2,Rp20.000
24,21/10/2024,12:11:03 PM,Ayam Bakar,Rp30.000,3,Rp90.000
24,21/10/2024,12:11:03 PM,Es Jeruk,Rp10.000,1,Rp10.000
25,21/10/2024,1:07:45 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
25,21/10/2024,1:07:45 PM,Sop Konro,Rp50.000,2,Rp100.000
25,21/10/2024,1:07:45 PM,Nasi Putih,Rp5.000,1,Rp5.000
25,21/10/2024,1:07:45 PM,Buras,Rp2.000,1,Rp2.000
25,21/10/2024,1:07:45 PM,Jus Mangga,Rp20.000,1,Rp20.000
25,21/10/2024,1:07:45 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
26,21/10/2024,1:42:51 PM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
26,21/10/2024,1:42:51 PM,Sop Kikil,Rp40.000,2,Rp80.000
26,21/10/2024,1:42:51 PM,Sop Konro,Rp50.000,2,Rp100.000
26,21/10/2024,1:42:51 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
26,21/10/2024,1:42:51 PM,Jus Mangga,Rp20.000,2,Rp40.000
27,21/10/2024,1:59:47 PM,Coto Makassar,Rp35.000,3,Rp105.000
27,21/10/2024,1:59:47 PM,Ketupat,Rp2.000,1,Rp2.000
27,21/10/2024,1:59:47 PM,Ayam Geprek,Rp30.000,2,Rp60.000
27,21/10/2024,1:59:47 PM,Ayam Geprek,Rp30.000,3,Rp90.000
27,21/10/2024,1:59:47 PM,Kacang Goreng,Rp4.000,1,Rp4.000
27,21/10/2024,1:59:47 PM,Peyek,Rp4.000,2,Rp8.000
27,21/10/2024,1:59:47 PM,Jus Alpukat,Rp20.000,2,Rp40.000
27,21/10/2024,1:59:47 PM,Es Jeruk,Rp10.000,2,Rp20.000
28,21/10/2024,1:53:19 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
28,21/10/2024,1:53:19 PM,Cumi Bakar,Rp45.000,1,Rp45.000
28,21/10/2024,1:53:19 PM,Ayam Geprek,Rp30.000,3,Rp90.000
28,21/10/2024,1:53:19 PM,Nasi Putih,Rp5.000,2,Rp10.000
28,21/10/2024,1:53:19 PM,Es Teh,Rp6.000,2,Rp12.000
28,21/10/2024,1:53:19 PM,Jeruk Panas,Rp10.000,2,Rp20.000
29,21/10/2024,9:52:33 AM,Ayam Geprek,Rp30.000,3,Rp90.000
29,21/10/2024,9:52:33 AM,Jus Mangga,Rp20.000,1,Rp20.000
30,21/10/2024,12:22:34 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
30,21/10/2024,12:22:34 PM,Sop Konro,Rp50.000,1,Rp50.000
30,21/10/2024,12:22:34 PM,Peyek,Rp4.000,2,Rp8.000
30,21/10/2024,12:22:34 PM,Kerupuk,Rp3.000,1,Rp3.000
30,21/10/2024,12:22:34 PM,Jus Alpukat,Rp20.000,2,Rp40.000
30,21/10/2024,12:22:34 PM,Teh Panas,Rp6.000,1,Rp6.000
31,21/10/2024,11:25:12 AM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
31,21/10/2024,11:25:12 AM,Jeruk Panas,Rp10.000,2,Rp20.000
32,21/10/2024,1:43:31 PM,Konro Bakar,Rp60.000,3,Rp180.000
32,21/10/2024,1:43:31 PM,Coto Makassar,Rp35.000,3,Rp105.000
32,21/10/2024,1:43:31 PM,Ketupat,Rp2.000,2,Rp4.000
32,21/10/2024,1:43:31 PM,Peyek,Rp4.000,2,Rp8.000
32,21/10/2024,1:43:31 PM,Es Teh,Rp6.000,2,Rp12.000
32,21/10/2024,1:43:31 PM,Es Jeruk,Rp10.000,1,Rp10.000
33,21/10/2024,11:13:56 AM,Ayam Goreng,Rp30.000,3,Rp90.000
33,21/10/2024,11:13:56 AM,Ikan Bakar Rica,Rp50.000,1,Rp50.000
33,21/10/2024,11:13:56 AM,Peyek,Rp4.000,1,Rp4.000
33,21/10/2024,11:13:56 AM,Es Teh,Rp6.000,2,Rp12.000
34,21/10/2024,9:46:20 PM,Coto Makassar,Rp35.000,3,Rp105.000
34,21/10/2024,9:46:20 PM,Ketupat,Rp2.000,3,Rp6.000
34,21/10/2024,9:46:20 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
35,21/10/2024,2:51:41 PM,Coto Makassar,Rp35.000,2,Rp70.000
35,21/10/2024,2:51:41 PM,Ketupat,Rp2.000,3,Rp6.000
35,21/10/2024,2:51:41 PM,Kerupuk,Rp3.000,1,Rp3.000
35,21/10/2024,2:51:41 PM,Ketupat,Rp2.000,1,Rp2.000
35,21/10/2024,2:51:41 PM,Jeruk Panas,Rp10.000,2,Rp20.000
36,21/10/2024,10:10:26 AM,Rahang Tuna Bakar,Rp50.000,1,Rp50.000
36,21/10/2024,10:10:26 AM,Konro Bakar,Rp60.000,3,Rp180.000
36,21/10/2024,10:10:26 AM,Peyek,Rp4.000,1,Rp4.000
36,21/10/2024,10:10:26 AM,Teh Panas,Rp6.000,1,Rp6.000
36,21/10/2024,10:10:26 AM,Jus Alpukat,Rp20.000,1,Rp20.000
37,21/10/2024,5:49:48 PM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
37,21/10/2024,5:49:48 PM,Cumi Bakar,Rp45.000,3,Rp135.000
37,21/10/2024,5:49:48 PM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
37,21/10/2024,5:49:48 PM,Jus Alpukat,Rp20.000,1,Rp20.000
37,21/10/2024,5:49:48 PM,Es Teh,Rp6.000,2,Rp12.000
37,21/10/2024,5:49:48 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
38,21/10/2024,6:22:05 PM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
38,21/10/2024,6:22:05 PM,Jeruk Panas,Rp10.000,1,Rp10.000
39,21/10/2024,11:04:58 AM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
39,21/10/2024,11:04:58 AM,Kacang Goreng,Rp4.000,1,Rp4.000
39,21/10/2024,11:04:58 AM,Peyek,Rp4.000,2,Rp8.000
39,21/10/2024,11:04:58 AM,Jus Alpukat,Rp20.000,1,Rp20.000
40,21/10/2024,11:19:54 AM,Coto Makassar,Rp35.000,2,Rp70.000
40,21/10/2024,11:19:54 AM,Ketupat,Rp2.000,1,Rp2.000
40,21/10/2024,11:19:54 AM,Konro Bakar,Rp60.000,2,Rp120.000
40,21/10/2024,11:19:54 AM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
40,21/10/2024,11:19:54 AM,Nasi Putih,Rp5.000,1,Rp5.000
40,21/10/2024,11:19:54 AM,Jus Alpukat,Rp20.000,1,Rp20.000
40,21/10/2024,11:19:54 AM,Jus Mangga,Rp20.000,1,Rp20.000
40,21/10/2024,11:19:54 AM,Es Teh,Rp6.000,1,Rp6.000
41,21/10/2024,2:27:36 PM,Coto Makassar,Rp35.000,3,Rp105.000
41,21/10/2024,2:27:36 PM,Ketupat,Rp2.000,1,Rp2.000
41,21/10/2024,2:27:36 PM,Konro Bakar,Rp60.000,3,Rp180.000
41,21/10/2024,2:27:36 PM,Kerupuk,Rp3.000,1,Rp3.000
41,21/10/2024,2:27:36 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
41,21/10/2024,2:27:36 PM,Jus Alpukat,Rp20.000,1,Rp20.000
42,21/10/2024,8:42:24 AM,Sop Kikil,Rp40.000,2,Rp80.000
42,21/10/2024,8:42:24 AM,Cumi Bakar,Rp45.000,1,Rp45.000
42,21/10/2024,8:42:24 AM,Buras,Rp2.000,1,Rp2.000
42,21/10/2024,8:42:24 AM,Buras,Rp2.000,2,Rp4.000
42,21/10/2024,8:42:24 AM,Jus Alpukat,Rp20.000,1,Rp20.000
42,21/10/2024,8:42:24 AM,Es Jeruk,Rp10.000,1,Rp10.000
43,21/10/2024,5:29:17 PM,Konro Bakar,Rp60.000,2,Rp120.000
43,21/10/2024,5:29:17 PM,Konro Bakar,Rp60.000,1,Rp60.000
43,21/10/2024,5:29:17 PM,Ayam Bakar,Rp30.000,1,Rp30.000
43,21/10/2024,5:29:17 PM,Kacang Goreng,Rp4.000,2,Rp8.000
43,21/10/2024,5:29:17 PM,Jeruk Panas,Rp10.000,1,Rp10.000
43,21/10/2024,5:29:17 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
43,21/10/2024,5:29:17 PM,Jeruk Panas,Rp10.000,2,Rp20.000
44,21/10/2024,9:19:25 AM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
44,21/10/2024,9:19:25 AM,Sop Konro,Rp50.000,2,Rp100.000
44,21/10/2024,9:19:25 AM,Nasi Putih,Rp5.000,1,Rp5.000
44,21/10/2024,9:19:25 AM,Ketupat,Rp2.000,1,Rp2.000
44,21/10/2024,9:19:25 AM,Es Jeruk,Rp10.000,2,Rp20.000
44,21/10/2024,9:19:25 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
45,21/10/2024,1:20:03 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
45,21/10/2024,1:20:03 PM,Ayam Bakar,Rp30.000,1,Rp30.000
45,21/10/2024,1:20:03 PM,Sop Konro,Rp50.000,3,Rp150.000
45,21/10/2024,1:20:03 PM,Buras,Rp2.000,2,Rp4.000
45,21/10/2024,1:20:03 PM,Kerupuk,Rp3.000,1,Rp3.000
45,21/10/2024,1:20:03 PM,Jeruk Panas,Rp10.000,2,Rp20.000
45,21/10/2024,1:20:03 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
45,21/10/2024,1:20:03 PM,Jus Alpukat,Rp20.000,1,Rp20.000
46,21/10/2024,10:27:56 PM,Konro Bakar,Rp60.000,1,Rp60.000
46,21/10/2024,10:27:56 PM,Es Teh,Rp6.000,2,Rp12.000
47,21/10/2024,7:27:43 PM,Ayam Goreng,Rp30.000,3,Rp90.000
47,21/10/2024,7:27:43 PM,Es Jeruk,Rp10.000,1,Rp10.000
48,21/10/2024,11:12:47 AM,Coto Makassar,Rp35.000,2,Rp70.000
48,21/10/2024,11:12:47 AM,Ketupat,Rp2.000,1,Rp2.000
48,21/10/2024,11:12:47 AM,Ayam Goreng,Rp30.000,1,Rp30.000
48,21/10/2024,11:12:47 AM,Es Teh,Rp6.000,2,Rp12.000
48,21/10/2024,11:12:47 AM,Jeruk Panas,Rp10.000,1,Rp10.000
49,21/10/2024,1:54:51 PM,Ayam Bakar,Rp30.000,3,Rp90.000
49,21/10/2024,1:54:51 PM,Coto Makassar,Rp35.000,2,Rp70.000
49,21/10/2024,1:54:51 PM,Ketupat,Rp2.000,2,Rp4.000
49,21/10/2024,1:54:51 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
49,21/10/2024,1:54:51 PM,Ketupat,Rp2.000,1,Rp2.000
49,21/10/2024,1:54:51 PM,Es Jeruk,Rp10.000,1,Rp10.000
49,21/10/2024,1:54:51 PM,Es Teh,Rp6.000,2,Rp12.000
49,21/10/2024,1:54:51 PM,Es Teh,Rp6.000,1,Rp6.000
50,21/10/2024,12:47:55 PM,Ayam Bakar,Rp30.000,2,Rp60.000
50,21/10/2024,12:47:55 PM,Buras,Rp2.000,1,Rp2.000
50,21/10/2024,12:47:55 PM,Jus Mangga,Rp20.000,1,Rp20.000
51,21/10/2024,2:12:01 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
51,21/10/2024,2:12:01 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
51,21/10/2024,2:12:01 PM,Rahang Tuna Bakar,Rp50.000,1,Rp50.000
51,21/10/2024,2:12:01 PM,Buras,Rp2.000,2,Rp4.000
51,21/10/2024,2:12:01 PM,Es Jeruk,Rp10.000,2,Rp20.000
51,21/10/2024,2:12:01 PM,Es Jeruk,Rp10.000,1,Rp10.000
52,22/10/2024,2:09:38 PM,Sop Kikil,Rp40.000,1,Rp40.000
52,22/10/2024,2:09:38 PM,Kerupuk,Rp3.000,2,Rp6.000
52,22/10/2024,2:09:38 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
53,22/10/2024,1:36:53 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
53,22/10/2024,1:36:53 PM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
53,22/10/2024,1:36:53 PM,Buras,Rp2.000,1,Rp2.000
53,22/10/2024,1:36:53 PM,Es Teh,Rp6.000,1,Rp6.000
53,22/10/2024,1:36:53 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
54,22/10/2024,10:34:25 AM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
54,22/10/2024,10:34:25 AM,Rahang Tuna Bakar,Rp50.000,1,Rp50.000
54,22/10/2024,10:34:25 AM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
54,22/10/2024,10:34:25 AM,Ketupat,Rp2.000,1,Rp2.000
54,22/10/2024,10:34:25 AM,Teh Panas,Rp6.000,1,Rp6.000
54,22/10/2024,10:34:25 AM,Jeruk Panas,Rp10.000,1,Rp10.000
54,22/10/2024,10:34:25 AM,Teh Panas,Rp6.000,2,Rp12.000
55,22/10/2024,12:48:19 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
55,22/10/2024,12:48:19 PM,Sop Konro,Rp50.000,3,Rp150.000
55,22/10/2024,12:48:19 PM,Konro Bakar,Rp60.000,3,Rp180.000
55,22/10/2024,12:48:19 PM,Kacang Goreng,Rp4.000,1,Rp4.000
55,22/10/2024,12:48:19 PM,Kerupuk,Rp3.000,1,Rp3.000
55,22/10/2024,12:48:19 PM,Es Jeruk,Rp10.000,2,Rp20.000
55,22/10/2024,12:48:19 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
55,22/10/2024,12:48:19 PM,Jeruk Panas,Rp10.000,1,Rp10.000
56,22/10/2024,10:35:26 AM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
56,22/10/2024,10:35:26 AM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
56,22/10/2024,10:35:26 AM,Kerupuk,Rp3.000,2,Rp6.000
56,22/10/2024,10:35:26 AM,Teh Panas,Rp6.000,1,Rp6.000
56,22/10/2024,10:35:26 AM,Jus Mangga,Rp20.000,1,Rp20.000
56,22/10/2024,10:35:26 AM,Jus Alpukat,Rp20.000,1,Rp20.000
57,22/10/2024,5:53:23 PM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
57,22/10/2024,5:53:23 PM,Sop Kikil,Rp40.000,3,Rp120.000
57,22/10/2024,5:53:23 PM,Ketupat,Rp2.000,1,Rp2.000
57,22/10/2024,5:53:23 PM,Es Teh,Rp6.000,2,Rp12.000
57,22/10/2024,5:53:23 PM,Jeruk Panas,Rp10.000,1,Rp10.000
57,22/10/2024,5:53:23 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
58,22/10/2024,3:37:21 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
58,22/10/2024,3:37:21 PM,Kerupuk,Rp3.000,2,Rp6.000
58,22/10/2024,3:37:21 PM,Peyek,Rp4.000,1,Rp4.000
58,22/10/2024,3:37:21 PM,Jus Alpukat,Rp20.000,2,Rp40.000
59,22/10/2024,1:49:54 PM,Ayam Goreng,Rp30.000,1,Rp30.000
59,22/10/2024,1:49:54 PM,Cumi Bakar,Rp45.000,2,Rp90.000
59,22/10/2024,1:49:54 PM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
59,22/10/2024,1:49:54 PM,Jus Alpukat,Rp20.000,2,Rp40.000
59,22/10/2024,1:49:54 PM,Es Teh,Rp6.000,2,Rp12.000
59,22/10/2024,1:49:54 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
60,22/10/2024,1:09:26 PM,Ayam Geprek,Rp30.000,3,Rp90.000
60,22/10/2024,1:09:26 PM,Konro Bakar,Rp60.000,2,Rp120.000
60,22/10/2024,1:09:26 PM,Konro Bakar,Rp60.000,1,Rp60.000
60,22/10/2024,1:09:26 PM,Ketupat,Rp2.000,1,Rp2.000
60,22/10/2024,1:09:26 PM,Nasi Putih,Rp5.000,2,Rp10.000
60,22/10/2024,1:09:26 PM,Jus Mangga,Rp20.000,1,Rp20.000
60,22/10/2024,1:09:26 PM,Jus Alpukat,Rp20.000,2,Rp40.000
60,22/10/2024,1:09:26 PM,Jeruk Panas,Rp10.000,1,Rp10.000
61,22/10/2024,11:50:02 AM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
61,22/10/2024,11:50:02 AM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
61,22/10/2024,11:50:02 AM,Sop Kikil,Rp40.000,1,Rp40.000
61,22/10/2024,11:50:02 AM,Ketupat,Rp2.000,2,Rp4.000
61,22/10/2024,11:50:02 AM,Jus Alpukat,Rp20.000,1,Rp20.000
61,22/10/2024,11:50:02 AM,Jeruk Panas,Rp10.000,2,Rp20.000
61,22/10/2024,11:50:02 AM,Teh Panas,Rp6.000,2,Rp12.000
62,22/10/2024,4:24:29 PM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
62,22/10/2024,4:24:29 PM,Ayam Geprek,Rp30.000,2,Rp60.000
62,22/10/2024,4:24:29 PM,Ketupat,Rp2.000,1,Rp2.000
62,22/10/2024,4:24:29 PM,Jus Alpukat,Rp20.000,2,Rp40.000
62,22/10/2024,4:24:29 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
63,22/10/2024,2:55:01 PM,Ayam Geprek,Rp30.000,3,Rp90.000
63,22/10/2024,2:55:01 PM,Cumi Bakar,Rp45.000,2,Rp90.000
63,22/10/2024,2:55:01 PM,Ayam Goreng,Rp30.000,3,Rp90.000
63,22/10/2024,2:55:01 PM,Ketupat,Rp2.000,2,Rp4.000
63,22/10/2024,2:55:01 PM,Es Teh,Rp6.000,1,Rp6.000
63,22/10/2024,2:55:01 PM,Jus Alpukat,Rp20.000,1,Rp20.000
63,22/10/2024,2:55:01 PM,Jus Alpukat,Rp20.000,2,Rp40.000
64,22/10/2024,11:54:51 AM,Sop Kikil,Rp40.000,3,Rp120.000
64,22/10/2024,11:54:51 AM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
64,22/10/2024,11:54:51 AM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
64,22/10/2024,11:54:51 AM,Buras,Rp2.000,1,Rp2.000
64,22/10/2024,11:54:51 AM,Jus Alpukat,Rp20.000,2,Rp40.000
64,22/10/2024,11:54:51 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
64,22/10/2024,11:54:51 AM,Teh Panas,Rp6.000,2,Rp12.000
65,22/10/2024,1:29:20 PM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
65,22/10/2024,1:29:20 PM,Konro Bakar,Rp60.000,3,Rp180.000
65,22/10/2024,1:29:20 PM,Kerupuk,Rp3.000,2,Rp6.000
